,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
11629,2020,1,4호선,미아(서울사이버대학),29252,522167,190690,177861,196810,84924,15671,220038,136217,189998,348154,197349
11630,2020,1,4호선,미아사거리,43639,960513,330286,337884,358640,202943,24830,328557,258572,373095,742130,396574
11631,2020,1,4호선,사당,34647,780869,285811,277235,352695,255621,24264,337685,210646,264632,585500,272672
11632,2020,1,4호선,삼각지,2352,66753,40780,55393,132704,52743,4476,168825,52767,51840,81788,37529
11633,2020,1,4호선,상계,37511,776399,223254,192400,183596,94717,22916,186614,146938,207581,467273,286113
11634,2020,1,4호선,서울역,16878,158079,112178,132897,385286,117161,13073,589075,197564,226764,265942,142273
11635,2020,1,4호선,성신여대입구(돈암),20393,510451,234333,261712,327880,224459,19817,285281,202080,259172,465045,255797
11636,2020,1,4호선,수유(강북구청),61383,1185598,417915,402161,460317,236716,40328,447514,298337,438017,911038,548468
11637,2020,1,4호선,숙대입구(갈월),12294,229862,141195,170739,314590,151005,8940,352057,134435,150943,237507,118008
11638,2020,1,4호선,신용산,6449,141962,117288,187081,510816,204246,7233,635103,157371,159314,197285,74020
11639,2020,1,4호선,쌍문,64459,1252370,358842,299473,291272,129296,36308,267305,204154,326149,772331,476624
11640,2020,1,4호선,이촌(국립중앙박물관),3992,146416,86688,120203,157210,53104,6399,210920,100306,100742,139416,67372
11641,2020,1,4호선,창동,54998,858972,325786,330228,340939,165599,38885,363044,274052,384451,699298,392907
11642,2020,1,4호선,총신대입구(이수),21419,510110,229573,248839,305956,188827,14873,366165,221312,292300,522059,225256
11643,2020,1,4호선,충무로,20418,168701,210569,356778,898382,390476,16257,1170936,318518,262521,265524,104834
11644,2020,1,4호선,한성대입구(삼선교),22282,352217,165402,175963,215575,101445,25301,231096,135652,162289,271789,155067
11645,2020,1,4호선,혜화,23605,264404,285284,502317,809481,644894,18979,866956,537917,516117,556261,162464
11646,2020,1,4호선,회현(남대문시장),8301,120456,243013,460380,794317,239777,5990,1114086,399923,275192,138135,55378
11647,2020,1,5호선,강동,33486,635657,210862,212870,312221,111223,21507,341519,147493,193613,378799,221532
11648,2020,1,5호선,개롱,10341,210204,75000,69547,86441,33055,9590,107596,51879,75202,156068,86941
11649,2020,1,5호선,개화산,10372,176285,59082,59742,93431,31000,6784,107702,48090,59258,109752,71158
11650,2020,1,5호선,거여,13433,265074,82977,81996,94693,31951,9101,114626,55124,80349,165530,96767
11651,2020,1,5호선,고덕,9771,271517,102558,110520,107510,46001,10675,133095,79924,95909,206210,109255
11652,2020,1,5호선,공덕,8335,215291,118522,146320,368245,149048,7154,491440,117752,120130,254226,92626
11653,2020,1,5호선,광나루(장신대),14739,401204,146802,160129,195389,89895,11478,235025,119793,136152,250702,139161
11654,2020,1,5호선,광화문(세종문화회관),7883,143608,211641,427398,1165601,446279,4520,1549543,374988,286845,269294,60854
11655,2020,1,5호선,군자(능동),22387,354436,105355,108094,155529,89106,19915,168923,95999,134142,321701,156839
11656,2020,1,5호선,굽은다리(강동구민회관앞),16975,324997,106186,96114,101406,49882,9784,99879,72164,104883,225478,124523
11657,2020,1,5호선,길동,12826,221094,90616,89381,101712,44339,6810,121394,75052,103254,187460,88829
11658,2020,1,5호선,김포공항,2154,74538,75267,112612,177607,106535,8156,169056,109715,108324,102054,24994
11659,2020,1,5호선,까치산,66049,1246657,329839,268423,247218,122375,31230,219104,196308,339846,821632,492111
11660,2020,1,5호선,답십리,25014,570736,156984,156462,222293,84032,14017,237323,116291,156326,369313,189519
11661,2020,1,5호선,동대문역사문화공원,872,14088,13968,20448,81433,21792,1018,120553,17879,15720,16023,8022
11662,2020,1,5호선,동대문역사문화공원(DDP),334,4177,3654,7151,33631,8261,310,48948,5689,4693,4559,1705
11663,2020,1,5호선,둔촌동,11020,233716,94811,101377,133314,59387,5707,154780,79183,104687,195151,90973
11664,2020,1,5호선,마곡,6141,184991,62286,85945,160025,48123,9775,201231,53688,64159,117145,63450
11665,2020,1,5호선,마장,7476,167107,68394,70124,85565,39029,5728,111418,58033,61081,117070,58343
11666,2020,1,5호선,마천,14986,183265,60198,58600,59788,18211,6687,86828,45241,62214,116145,68702
11667,2020,1,5호선,마포,9554,274294,125481,147093,324753,144302,9401,434550,116375,123106,261108,108923
11668,2020,1,5호선,명일,12114,307091,98483,86032,76110,33729,8928,84788,65969,100015,237570,117534
11669,2020,1,5호선,목동,23503,590266,183804,180676,214959,114763,18509,243324,144831,210338,517198,257417
11670,2020,1,5호선,발산,12825,257362,165768,251561,471287,228525,14512,595420,198087,192968,308196,125265
11671,2020,1,5호선,방이,7384,168028,74079,81061,126258,79014,7218,158110,71958,82943,150239,69319
11672,2020,1,5호선,방화,14521,244308,84890,75317,75778,26337,7953,90099,53248,77007,150310,98990
11673,2020,1,5호선,상일동,21518,668479,149131,148287,160036,40388,18481,167221,84538,128134,363134,216043
11674,2020,1,5호선,서대문,9368,204379,137815,203105,553821,170953,8472,797567,141590,123161,165383,77590
11675,2020,1,5호선,송정,12737,216489,81722,81884,104526,46830,9377,106495,62079,84031,145806,86167
11676,2020,1,5호선,신금호,8098,219244,69271,64275,69909,32539,6613,87661,50212,72677,159400,81236
11677,2020,1,5호선,신길,6407,113575,29429,29631,67592,21266,3929,90559,24497,30691,87803,51623
11678,2020,1,5호선,신정(은행정),31021,611744,132391,104207,112399,44556,12500,109048,69610,119206,287471,175372
11679,2020,1,5호선,아차산(어린이대공원후문),24256,464826,165366,176987,180424,79247,14365,199570,139006,169273,341390,177471
